sheet,pair,metric,cohens_d,mean_i,mean_j,n_i,n_j,p_raw,p_sidak
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p3_n1,0.3661896335526785,-22.406032061725703,-27.442610970285422,26,28,0.34938944174224873,0.7246003902569926
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p3_n1,0.9238350178847348,0.1503609358346836,0.03352672597353039,26,28,0.12675621017657002,0.3341038294462092
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p3_n2,0.4256323806170631,-32.89456824158147,-39.632341032538626,26,28,0.3261439939212515,0.6940141730260447
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p3_n2,0.9138611400199717,0.09922011282676083,0.02258807604678269,26,28,0.12679695163087834,0.3341970278622889
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p3_n3,0.4870392870229627,-42.57453188953332,-50.925727143577284,26,28,0.2979279870936351,0.6539451163332834
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p3_n3,0.9050601571081396,0.07447734054189599,0.017316692543634337,26,28,0.13247034118422707,0.34709049105416434
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p3_n4,0.5458330050283716,-51.01708192149862,-60.64154832465641,26,28,0.2660823077683683,0.6046861124951224
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p3_n4,0.9070833652491684,0.06117408379631085,0.014351432032066559,26,28,0.13463219440205032,0.35195941986557955
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p3_n5,0.6083959609741884,-58.68387116754971,-69.12522164193717,26,28,0.22677008214397454,0.5376978126405776
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p3_n5,0.9087244927795137,0.05273911355301368,0.012428244566548174,26,28,0.13565776541400354,0.3542607221246572
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p4_n1,0.4503211851837584,-20.74242634659066,-27.06097159351702,26,28,0.2748498157185677,0.6186850041000115
