path,plate,well,sheet,condition
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell4.nd2,250612_patterned_plate_3,B04,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell4.nd2,250612_patterned_plate_3,B04,TRAK2 helix muts,TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell5.nd2,250612_patterned_plate_3,B04,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell5.nd2,250612_patterned_plate_3,B04,TRAK2 helix muts,TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell6.nd2,250612_patterned_plate_3,B04,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell6.nd2,250612_patterned_plate_3,B04,TRAK2 helix muts,TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell8.nd2,250612_patterned_plate_3,B04,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell8.nd2,250612_patterned_plate_3,B04,TRAK2 helix muts,TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell9.nd2,250612_patterned_plate_3,B04,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell9.nd2,250612_patterned_plate_3,B04,TRAK2 helix muts,TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B05_250617_TRAK1_mDRH/Cell1.nd2,250612_patterned_plate_3,B05,TRAK1 helix muts,T1 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B05_250617_TRAK1_mDRH/Cell10.nd2,250612_patterned_plate_3,B05,TRAK1 helix muts,T1 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B05_250617_TRAK1_mDRH/Cell11.nd2,250612_patterned_plate_3,B05,TRAK1 helix muts,T1 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B05_250617_TRAK1_mDRH/Cell13.nd2,250612_patterned_plate_3,B05,TRAK1 helix muts,T1 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B05_250617_TRAK1_mDRH/Cell3.nd2,250612_patterned_plate_3,B05,TRAK1 helix muts,T1 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B05_250617_TRAK1_mDRH/Cell4.nd2,250612_patterned_plate_3,B05,TRAK1 helix muts,T1 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B06_250617_TRAK1_mDRH_dSp/Cell1.nd2,250612_patterned_plate_3,B06,TRAK1 helix muts,T1 mDRH / dSp
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B06_250617_TRAK1_mDRH_dSp/Cell11.nd2,250612_patterned_plate_3,B06,TRAK1 helix muts,T1 mDRH / dSp
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B06_250617_TRAK1_mDRH_dSp/Cell12.nd2,250612_patterned_plate_3,B06,TRAK1 helix muts,T1 mDRH / dSp
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B06_250617_TRAK1_mDRH_dSp/Cell2.nd2,250612_patterned_plate_3,B06,TRAK1 helix muts,T1 mDRH / dSp
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B06_250617_TRAK1_mDRH_dSp/Cell4.nd2,250612_patterned_plate_3,B06,TRAK1 helix muts,T1 mDRH / dSp
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B06_250617_TRAK1_mDRH_dSp/Cell8.nd2,250612_patterned_plate_3,B06,TRAK1 helix muts,T1 mDRH / dSp
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B06_250617_TRAK1_mDRH_dSp/Cell9.nd2,250612_patterned_plate_3,B06,TRAK1 helix muts,T1 mDRH / dSp
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B07_TRAK2_mDRH/Cell10.nd2,250612_patterned_plate_3,B07,TRAK2 helix muts,TRAK2 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B07_TRAK2_mDRH/Cell11.nd2,250612_patterned_plate_3,B07,TRAK2 helix muts,TRAK2 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B07_TRAK2_mDRH/Cell13.nd2,250612_patterned_plate_3,B07,TRAK2 helix muts,TRAK2 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B07_TRAK2_mDRH/Cell15.nd2,250612_patterned_plate_3,B07,TRAK2 helix muts,TRAK2 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B07_TRAK2_mDRH/Cell3.nd2,250612_patterned_plate_3,B07,TRAK2 helix muts,TRAK2 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B07_TRAK2_mDRH/Cell9.nd2,250612_patterned_plate_3,B07,TRAK2 helix muts,TRAK2 mDRH
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B08_TRAK2_mDRH_dSp/Cell1.nd2,250612_patterned_plate_3,B08,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B08_TRAK2_mDRH_dSp/Cell10.nd2,250612_patterned_plate_3,B08,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B08_TRAK2_mDRH_dSp/Cell11.nd2,250612_patterned_plate_3,B08,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B08_TRAK2_mDRH_dSp/Cell12.nd2,250612_patterned_plate_3,B08,TRAK2 helix muts,TRAK2 mDRH mSpindly
