sheet,pair,metric,d,p
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_wedge_mt_apex_elongation,-0.11102373233283398,0.9847051606205468
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_wedge_mt_apex_elongation,-0.007132197868232731,0.9999913893367892
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_wedge_mt_apex_lam_min_um2,0.2254276538623749,0.9378559399538946
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_wedge_mt_apex_lam_min_um2,0.06465201311376718,0.9966128668650981
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_wedge_frac_pct,0.21042160396637125,0.9621854072601087
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_wedge_frac_pct,0.15167506194299635,0.9861355956109679
TRAK isoform (peroxisome),TRAK1 vs TRAK2,zsum_perinuclear_5um_pct,0.012714216744440565,0.9999959170471266
TRAK isoform (peroxisome),TRAK1 vs TRAK2,maxip_perinuclear_5um_pct,0.07118068435314397,0.9992749769265159
TRAK isoform (peroxisome),TRAK1 vs TRAK2,zsum_peripheral_5um_pct,0.26281334271057005,0.8750241764744833
TRAK isoform (peroxisome),TRAK1 vs TRAK2,maxip_peripheral_5um_pct,0.19502221692675523,0.9383403004147427
TRAK isoform (peroxisome),TRAK1 vs TRAK2,zsum_mean_dist_to_nucleus_um,-0.16523302933422246,0.9910631112868301
TRAK isoform (peroxisome),TRAK1 vs TRAK2,maxip_mean_dist_to_nucleus_um,-0.22075811903153794,0.976678171390018
TRAK isoform (peroxisome),TRAK1 vs TRAK2,zsum_y_gini,-0.15874523703272472,0.9736789271311587
TRAK isoform (peroxisome),TRAK1 vs TRAK2,maxip_y_gini,-0.2325836067347764,0.8721509478654035
TRAK isoform (peroxisome),TRAK1 vs TRAK2,zsum_y_entropy,0.20558850923802666,0.9467515431105257
TRAK isoform (peroxisome),TRAK1 vs TRAK2,maxip_y_entropy,0.2719779813361515,0.8062032080688141
TRAK isoform (peroxisome),TRAK1 vs TRAK2,zsum_y_sd_um,0.24389866703394927,0.9426825064856382
TRAK isoform (peroxisome),TRAK1 vs TRAK2,maxip_y_sd_um,0.2574913075099487,0.9185745203478819
TRAK isoform (peroxisome),TRAK1 vs TRAK2,zsum_y_skew,0.017126313094197116,0.9999617655060321
TRAK isoform (peroxisome),TRAK1 vs TRAK2,maxip_y_skew,-0.051584042400400966,0.9987644347640214
TRAK isoform (peroxisome),TRAK1 vs TRAK2,zsum_y_mean_um,-0.039621539509308856,0.9985193823340491
TRAK isoform (peroxisome),TRAK1 vs TRAK2,maxip_y_mean_um,0.013788115980862678,0.9999365105415903
TRAK isoform (peroxisome),TRAK1 vs TRAK2,zsum_wedge_r_gini,-0.1951792220130586,0.9439780686074872
